Single Draw,Deviations,Squared Deviations,Three Card Sums,Deviations,Squared Deviations,,,Part 1,Part 2
1,-5.54,30.6916,8,-10.83333333,117.3611111,,Average ,6.538461538,18.83333333
1,-5.54,30.6916,10,-8.833333333,78.02777778,,Variance,9.940830769,20.07471264
1,-5.54,30.6916,12,-6.833333333,46.69444444,,Stdev,3.152908303,4.480481296
1,-5.54,30.6916,14,-4.833333333,23.36111111,,Median,7,19.5
2,-4.54,20.6116,15,-3.833333333,14.69444444,,Mode,,20
2,-4.54,20.6116,15,-3.833333333,14.69444444,,IQR,,5
2,-4.54,20.6116,16,-2.833333333,8.027777778,,,,
2,-4.54,20.6116,16,-2.833333333,8.027777778,,,,
3,-3.54,12.5316,17,-1.833333333,3.361111111,,,,
3,-3.54,12.5316,17,-1.833333333,3.361111111,,,,
3,-3.54,12.5316,17,-1.833333333,3.361111111,,,,
3,-3.54,12.5316,19,0.166666667,0.027777778,,,,
4,-2.54,6.4516,19,0.166666667,0.027777778,,,,
4,-2.54,6.4516,19,0.166666667,0.027777778,,,,
4,-2.54,6.4516,19,0.166666667,0.027777778,,,,
4,-2.54,6.4516,20,1.166666667,1.361111111,,,,
5,-1.54,2.3716,20,1.166666667,1.361111111,,,,
5,-1.54,2.3716,20,1.166666667,1.361111111,,,,
5,-1.54,2.3716,20,1.166666667,1.361111111,,,,
5,-1.54,2.3716,20,1.166666667,1.361111111,,,,
6,-0.54,0.2916,21,2.166666667,4.694444444,,,,
6,-0.54,0.2916,21,2.166666667,4.694444444,,,,
6,-0.54,0.2916,21,2.166666667,4.694444444,,,,
6,-0.54,0.2916,21,2.166666667,4.694444444,,,,
7,0.46,0.2116,22,3.166666667,10.02777778,,,,
7,0.46,0.2116,23,4.166666667,17.36111111,,,,
7,0.46,0.2116,24,5.166666667,26.69444444,,,,
7,0.46,0.2116,24,5.166666667,26.69444444,,,,
8,1.46,2.1316,26,7.166666667,51.36111111,,,,
8,1.46,2.1316,29,10.16666667,103.3611111,,,,
8,1.46,2.1316,,,,,,,
8,1.46,2.1316,,,,,,,
9,2.46,6.0516,,,,,,,
9,2.46,6.0516,,,,,,,
9,2.46,6.0516,,,,,,,
9,2.46,6.0516,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
10,3.46,11.9716,,,,,,,
